secret,domain,domain_manager
buzzclub-certificate,buzzclub.com.br,cloudflare
buzzeditora-certificate,buzzeditora.com.br,cloudflare
wiseupcorp.com-certificate,wiseupcorp.com,cloudflare
numberone.com.br-certificate,numberone.com.br,cloudflare
powerhouse.pro-certificate,powerhouse.pro,cloudflare
meusucesso.com-certificate,meusucesso.com,cloudflare
wiser.cloud-certificate,wiser.cloud,cloudflare
wiseuplive.com.br-certificate,wiseuplive.com.br,cloudflare
wiseup.com-certificate,wiseup.com,cloudflare
wisereducacao.com-certificate,wisereducacao.com,aws
youmove.com.br-certificate,youmove.com.br,aws
youmoveonline.com.br-certificate,youmoveonline.com.br,aws
wiseupcolombia.com-certificate,wiseupcolombia.com,aws
wiseuponline.com.br-certificate,wiseuponline.com.br,aws
wup.onl-certificate,wup.onl,aws
wiserconference.com-certificate,wiserconference.com,aws
